================================================================================
EMMTECH Closed Tickets Containing Code Snippets
Total unique tickets: 1092
Generated from Jira sdsdev site (devops.sdsdev.co.kr)
================================================================================

Search categories used:
  import, function, Exception, patch, dumpstate, adb, logcat,
  NullPointerException, commit, public class, git, diff, stacktrace

--------------------------------------------------------------------------------
Ticket Key           Categories                                         Summary
EMMTECH-670          patch                                              [00229830] Remote Support view goes blank when device is in landscape orientation
EMMTECH-676          dumpstate                                          [00233479] MGP Account Not Registered
EMMTECH-681          dumpstate                                          [00231906] "Meet" application does not connect
EMMTECH-686          function, patch                                    [00233583] Unassigned MultiKiosk app installed
EMMTECH-694          dumpstate                                          [00233631] Devices expired but license is still valid
EMMTECH-701          patch                                              [00232918][ETS] Web Remote Viewer image is compressed and low quality
EMMTECH-706          patch                                              [Bandhan Financial services privatelimited] [00233915] Issue on KM Portal - Export to CSV
EMMTECH-712          function                                           [Taxa 4x35] [00233275] Tablets indicate licens issue when newly enrolled
EMMTECH-719          dumpstate                                          [00233137] Tablet can't connect to Wifi network
EMMTECH-723          Exception, dumpstate, function                     [00234091]Wi-Fi spark// Knox Manage // Clear Data Application Device Admin Issue
EMMTECH-736          dumpstate                                          [00232184] MGP application does not work on KM
EMMTECH-749          dumpstate                                          [00234700] Tablets have not been seen and unable to push out urgent app
EMMTECH-755          Exception                                          [00233973] Failed to enroll devices in Knox Manage with EE license generated second time (KMA_F5003)
EMMTECH-758          patch                                              [00233266] Error message kio_code_002 in kiosk mode with Knox Browser
EMMTECH-761          dumpstate                                          [00232689] Factory Reset un-enrolls device
EMMTECH-762          function                                           [00233913]OneComm // Auto-assign organisation to AD user
EMMTECH-766          function                                           [testsielindia] [00234846] Need Confirmation for Policies in WPCOD
EMMTECH-792          dumpstate                                          [00234082] Cannot enter unenrolment code
EMMTECH-798          function                                           [00235423] split screen with two apps does not work in kiosk mode
EMMTECH-802          patch                                              [00233495] displaying mobile numbers in KM
EMMTECH-803          Exception                                          [00235411] question, external ip adresses
EMMTECH-804          Exception                                          [00235351] Devices stuck on expired status
EMMTECH-815          import                                             [00235669]Unable to add PEGI 18 gambling application to the KM
EMMTECH-829          dumpstate                                          [00235328] notification banner and quick access
EMMTECH-833          Exception, dumpstate                               [00234952] Recently used apps disappear
EMMTECH-835          adb, dumpstate                                     [00235720] Unable to unenroll offline device
EMMTECH-837          Exception                                          [00235369] Internal banking app is not visible in private play store
EMMTECH-860          function                                           [00235858] Knox Devices Location Log - QUESTION
EMMTECH-861          patch                                              [00236362] QR Code missing for Android Management API enrollment
EMMTECH-866          Exception, dumpstate                               [00235596] Application failed to lunch
EMMTECH-870          Exception, dumpstate, function                     [00236097] Kiosk won't install - keeps on status installing
EMMTECH-872          function                                           [00236086]User is not authenticating
EMMTECH-874          dumpstate                                          [00236716] Force Update Option is not automatically updating device agent.
EMMTECH-875          patch                                              [00232918][ETS] Web Remote Viewer image is compressed and low quality
EMMTECH-901          Exception                                          [iOS][00236367] Sync DEP Device Error
EMMTECH-902          Exception                                          [iOS][00236367] Sync DEP Device Error
EMMTECH-903          dumpstate                                          [Customer][00236791] SIM Card issue with kiosk
EMMTECH-908          function                                           [iOS][00235882]Profile Policy Updates
EMMTECH-913          function                                           [00236672] [ETS] Users report
EMMTECH-915          Exception, dumpstate                               [00235913] Issue with installing Kiosk
EMMTECH-918          dumpstate                                          [00236318] Black screen for Knox remote support for Work Profile on Company-Owned Devices
EMMTECH-923          patch                                              [00237294][ETS] ESC34914 | Knox Manage - unable to export application reports.
EMMTECH-928          dumpstate                                          [00235934]Use of mobile data for updates
EMMTECH-929          dumpstate                                          [00235779] Remote support issue on A22
EMMTECH-930          dumpstate, function                                [00236768]Kiosk mode disable recent apps
EMMTECH-931          patch                                              [00237034] Can't export device list as a CSV file
EMMTECH-935          function, import                                   [00237222] It's possible to sync work and personal profile contacts
EMMTECH-938          patch                                              [00236887] User is not able to change Date and Time- Knox Manage (GVK EMRI).
EMMTECH-946          patch                                              [00236347] Cloud Connector sync issue
EMMTECH-948          function                                           [00237662][ETS] Will Knox Manage add support for getEnrollmentSpecificId via AppConfig
EMMTECH-951          Exception, dumpstate                               [00233436] Problème autorisation installation application
EMMTECH-958          dumpstate                                          [00236215]Can't make firmware update to the device
EMMTECH-975          import                                             [00237260] Lockscreen password issue
EMMTECH-976          Exception, patch                                   [00237494] Cloud connector issue
EMMTECH-977          patch                                              [00237452] LDAP Syncing groups error
EMMTECH-982          function                                           [00238079] AdminID cannot be changed
EMMTECH-988          import                                             [00238098][ETS] LDAP SYNC doesn't delete user accounts that are deleted in our Active Directory
EMMTECH-1015         import                                             [00238433] issue when updating internal app
EMMTECH-1019         patch                                              [00238404]Error sincronización programada con Directorio Activo
EMMTECH-1021         dumpstate                                          [00236403] Knox disabling physical buttons when policy is to allow them
EMMTECH-1032         patch                                              [00238593] Azure AD issue on scheduled sync
EMMTECH-1033         dumpstate                                          [00238497] App block on Knox Manage
EMMTECH-1036         dumpstate                                          [00238712] Bottom Toolbar on all Tablets is only showing one button
EMMTECH-1040         function                                           [00238374] APN settings are not applied on device
EMMTECH-1041         dumpstate                                          [00238240] Device notification bar does not work
EMMTECH-1044         dumpstate, import                                  [Srisawad] [00238657] Info not available in Kiosk Mode
EMMTECH-1049         dumpstate                                          [00238458] Agent app issue after upgrade to Android 12
EMMTECH-1055         dumpstate, function                                [00237981]APN Setting Android Enterprise
EMMTECH-1064         patch, stacktrace                                  [00238304] Sync service issue
EMMTECH-1067         function                                           [00239837]LDAP/AD Sync not functioning
EMMTECH-1069         function                                           [00237273] Knox Manage Reports
EMMTECH-1070         logcat                                             [00238897] Knox Manage Kiosk Prevents Kiosked App from running in Single Kiosk Mode on Boot
EMMTECH-1078         dumpstate                                          [ETS][00238868] Play Store abnormal battery usage
EMMTECH-1080         function, patch                                    [00240167] Knox Manage Remote Support Connects to Two different devices with same Serial #
EMMTECH-1093         function                                           [00240265] [URC][KM] Reset User Password Not Working
EMMTECH-1106         dumpstate                                          [00239948] Internal app does not work on A13 devices
EMMTECH-1109         Exception, dumpstate                               [00240065] Video Conferencing in App after Tablet Device Reboot
EMMTECH-1124         patch                                              [00240876] Remote Support for Knox Manage
EMMTECH-1127         dumpstate                                          [ETS][00239769] Device in Kiosk Mode cannot accept a  WiFi EULA
EMMTECH-1133         dumpstate                                          [00238049] Customer can't log into an app called "AVL Logic"
EMMTECH-1141         dumpstate                                          [00240892]Phone reboot to recovery mode
EMMTECH-1142         function                                           [ETS][00241172] Mobile Data Only feature
EMMTECH-1146         function                                           [00240812] Apps udate distribution 
EMMTECH-1147         function                                           [00241158] Remote support for all devices not working
EMMTECH-1156         Exception                                          [00241480] Active Directory Sync Fail
EMMTECH-1157         Exception                                          [00241480] Active Directory Sync Fail
EMMTECH-1163         patch                                              [00241473]Erreur deploiement
EMMTECH-1167         patch                                              [00241291]  Modificating users / AE
EMMTECH-1175         Exception, dumpstate                               [00241815] Unable to use knox remote support
EMMTECH-1185         patch                                              [00237632]  Adding apps via group assignment has a delay
EMMTECH-1192         Exception                                          [00239851] LDAP Sync issue
EMMTECH-1205         Exception, patch                                   [00242128]Samsung Tablet (R52N403QTXB) Will Not Load Kiosk
EMMTECH-1206         logcat                                             [ETS][00242354] Android 12 devices not applying APN Profiles
EMMTECH-1214         Exception                                          [00242219] [Ajinomoto]: Failed to add MGP
EMMTECH-1217         patch                                              [00241615] User's Android Management Type rolls back to former setting
EMMTECH-1220         dumpstate                                          [00242326]Factory reset not executing in tablets
EMMTECH-1222         function                                           [00242319] Bookmarks to webpages with login pup up do not work in kiosk
EMMTECH-1223         patch                                              [00242484][Customer] License showing expired
EMMTECH-1231         dumpstate                                          [00241605] Devices Not Checking In
EMMTECH-1236         Exception                                          [00242768] Suddenly all the Android Enterprise policies disappeared while I was modifying the Production profile
EMMTECH-1238         Exception, function                                [Customer][00242987] URL exception
EMMTECH-1242         patch                                              [00242805][Customer] License showing expired
EMMTECH-1255         function                                           [00243157] Library content - user cannot update .pdf, .doc, .xls
EMMTECH-1256         function                                           [00243438] Option to pass login credentials from KM-Agent to phone
EMMTECH-1258         Exception, dumpstate                               [ETS] [00242304] Remote Support (22.05) unable to navigate file menu of SM-T307U
EMMTECH-1269         dumpstate                                          [00243721] Device stuck in a Kiosk mode
EMMTECH-1278         Exception                                          [00243856] Haryana Education- Kiosk app is not updating automatically
EMMTECH-1279         function                                           [00243934] Issue with Knox Remote Support on WPCOD (black screen on web console)
EMMTECH-1285         commit, dumpstate                                  [00243913] Bluetooth Scanning is not working inside work profile
EMMTECH-1286         function                                           [00242927][Customer] Factory reset not allowed
EMMTECH-1290         dumpstate                                          [00243644] Deployed Certificate in Work Profile don't work in app
EMMTECH-1291         dumpstate                                          [00243740] Application is not installed.
EMMTECH-1294         dumpstate                                          [ETS] Internal Application does not work properly (Permission denied)
EMMTECH-1295         adb, diff, dumpstate, function, logcat             [ETS][00242354] can't push APN configs to OS 12 devices
EMMTECH-1303         Exception                                          [00244025] Automatic installation of application from MGP
EMMTECH-1304         function                                           [00244159] weird device's IMEI format
EMMTECH-1311         Exception                                          [00243463] Issues with when remote connecting while using TeamViewer
EMMTECH-1314         Exception                                          [Internal] MDM Mode. Can't download (PIT)
EMMTECH-1318         function                                           [00244115] Share devices possibilities on Samsung phone
EMMTECH-1321         dumpstate                                          [00244099] KME Profile / KM Enrollment
EMMTECH-1323         dumpstate                                          [Holcim (Australia) Pty Ltd] [00244777] [ETS] Expire Device in Knox Manage
EMMTECH-1328         function                                           [00243802] Single App Kiosk Mode repeatedly prompting for appear on top permission on A7 Lite
EMMTECH-1330         Exception                                          [00244992] Novagem Staff App Not Installing or opening in Managed Apps
EMMTECH-1333         import                                             [PTG Energy] [00244787] Cannot enroll to KM
EMMTECH-1337         function                                           [00242467] Nextcloud are unsable on all Device
EMMTECH-1343         dumpstate, function                                [00245142] Issues to deactivate KPE license
EMMTECH-1355         function                                           [00244772] Empty license error
EMMTECH-1356         Exception                                          [00245144] Network proxy settings to Knox Manage
EMMTECH-1397         function                                           [00246094] Delete content possibility
EMMTECH-1398         dumpstate                                          [00246119] Error KMA_B5013 when enroll BYOD with AD user
EMMTECH-1404         Exception, dumpstate                               [ETS][00245988] Internal app crashes
EMMTECH-1405         Exception, dumpstate                               [00245928] Apps not showing up in Google Play
EMMTECH-1418         function                                           [00246042] Location Service issue
EMMTECH-1419         dumpstate                                          [00245640] Route4me Route Planner App Fails to launch After it is Closed
EMMTECH-1423         function                                           [00246477] Knox Manage REST API: Get Device Detail By Google Device Id
EMMTECH-1426         dumpstate                                          [00246079] Automatic uninstall of apps doesn't work
EMMTECH-1427         Exception, function                                [00246764] Internal Application Install and Uninstall fail
EMMTECH-1462         function                                           [00246545] KM Alert issue
EMMTECH-1471         function                                           [00247343][Customer] Unknown user return on Audit Log
EMMTECH-1473         Exception                                          [Haryana Education] [00247472] Tablet exiting from Kiosk Application by exploring "Add Network" & "play.google.com"
EMMTECH-1482         function                                           [ETS] [00247650] Change the license on a device from 'Knox Manage' to 'Knox Suite' without interaction of the person of the device
EMMTECH-1492         dumpstate                                          [00247790] Knox Remote Support on WPCOD: Black screen
EMMTECH-1493         dumpstate                                          [00247957] Geofencing locks device even when device stays on-site
EMMTECH-1494         function                                           [BSB FASHION][00247923] KM-Kiosk Browser Issue
EMMTECH-1512         function                                           [00246613] Knox browser does not respect Galaxy Tablet Active Pro "Display/Screen Zoom" Setting
EMMTECH-1515         function                                           [Lubbers Logistics Group][00248531] whitelist only one video from youtube
EMMTECH-1519         dumpstate                                          [00248328][ETS] Issue with Smart Switch app on SM-S908
EMMTECH-1525         dumpstate, function                                [00248557] PendingUserAction error when installing an internal app
EMMTECH-1535         dumpstate                                          [00242681] App doesn't appear on the Play Store for manual installation
EMMTECH-1541         function                                           [00249317] [ETS] [MOE}Bulk tag error mesage2019
EMMTECH-1543         Exception, dumpstate, function                     [00249159] Shared device mode: Unable to install internal applications
EMMTECH-1544         Exception, patch                                   [00243431] Knox Remote Support - Not working still
EMMTECH-1546         function                                           [00248376] [ETS] Report to include Device Alias
EMMTECH-1549         dumpstate                                          [00248980] abnormal symptom when opening application in kiosk mode the screen is inaccessible
EMMTECH-1550         function                                           [Customer][00249533] RS and Screenshot issue
EMMTECH-1556         Exception                                          [00245403] VPN+ Proxy PAC issue
EMMTECH-1563         Exception                                          [00248903] Devices can't use the web app
EMMTECH-1566         dumpstate                                          [00249554] New set up is not working as desired
EMMTECH-1570         patch                                              [Customer][00249762] Issue to navigate on file browser on remote support
EMMTECH-1571         import                                             [00249199] LDAP sync issue with KM - users
EMMTECH-1579         dumpstate                                          [00249516] not able to auto install the app com.edelvives.digitalplus
EMMTECH-1591         dumpstate                                          [00250111] Tab Active 3, Sim Code input page is overlapped from Kiosk App
EMMTECH-1595         function                                           [00249844] Knox license expired
EMMTECH-1617         dumpstate                                          [IT Sydtrafik] [00249616] "Blue light" not working in kiosk with Android 12
EMMTECH-1618         function                                           [Florian Sibout][00250396] Forcer un navigateur en mode privé sur ANDROID
EMMTECH-1633         dumpstate                                          [00250774] Knox Manage making tablets use INSANE amounts of data in play store
EMMTECH-1640         function                                           [00250724] QUESTION Permitir todo el catalogo de Google Play en perfil Knox Manage
EMMTECH-1641         patch                                              [00250264] AD sync fails
EMMTECH-1642         Exception, dumpstate                               [00250302] Samsung Active3 Tablet Not Starting with Knox Manage
EMMTECH-1648         function                                           [00250855] Homekey doesn't work on Android 12
EMMTECH-1649         dumpstate                                          [00250417] AE multiple APN config issue
EMMTECH-1653         dumpstate, function                                [00251219] Devices communicate with KM - status expired - all are visible in KM
EMMTECH-1658         dumpstate                                          [00250852] WLAN not auto distributed and installed
EMMTECH-1659         dumpstate                                          [00249376] Shared device + KAI doesn't work properly
EMMTECH-1674         dumpstate                                          [250739] Knox Manage single app Kiosk can be bypassed
EMMTECH-1675         dumpstate, function                                [00248570] Samsung Devices - Random Device Reboots
EMMTECH-1687         function                                           [00251516] Cloud Connector Install Fails to Install to Custom Directory
EMMTECH-1695         dumpstate                                          [00249562] KME Enrolment: Fully Managed vs. Work Profile on Company Owned Device
EMMTECH-1698         dumpstate, import, patch                           [00251274] [ETS] [MOE]Firewall Policy not applied
EMMTECH-1702         dumpstate                                          [Arne Mayhold] [00251515] Gesichtserkennung kann nicht aktiviert werden
EMMTECH-1703         patch                                              [00251177] Legacy devices still remain expired after update license command
EMMTECH-1725         patch                                              [00252458] Error KMA_B5006 on device enrolling with Knox Manage.
EMMTECH-1726         Exception, adb, logcat                             [00251953] App update issue
EMMTECH-1736         function                                           [Jane Scharling Andersen] [00252755] Knox Remote - Force Run Function
EMMTECH-1737         dumpstate                                          [00251312] Uenrnollment failture, device remains at Kiosk 
EMMTECH-1739         Exception, dumpstate, patch                        [00251277] [ETS] [SEEG]KSP policy not applied
EMMTECH-1745         function, patch                                    [253058] [ETS] devices getting automatic factory reset on their own
EMMTECH-1749         Exception                                          [00253023] M DODERO COMPANIA GENERAL DE S // Problemas dispositivos KNOX enrolados.
EMMTECH-1751         patch                                              [00253192] KMA_B5007 Server Provisioning Error
EMMTECH-1752         function                                           [00252394]  Case Configurations for Windows Laptops in Knox Manage
EMMTECH-1755         dumpstate                                          [00252868][Cableway AG] KM Updates App blocked
EMMTECH-1758         dumpstate, import, patch                           [HISPAPOST S.A] [00253273] App manage configuration
EMMTECH-1759         patch                                              [00253040] New super admin issues with profile
EMMTECH-1760         function                                           [Isala Ziekenhuis] [00253041] Isala Hospital: Add the device name to kiosk app
EMMTECH-1766         Exception, dumpstate, patch                        [00253124] Device can't accept Wifi configuration
EMMTECH-1774         dumpstate                                          [Customer][00251397] Managed configuration doesn't apply the first time
EMMTECH-1780         Exception                                          [00252565] Geolocation on app with Kiosk
EMMTECH-1785         Exception                                          [Hayden Wilson-Mosey][00253140] Devices Reset
EMMTECH-1786         patch                                              [Waberer's International Nyrt] [00253366] Expired phones while they has enough licenses
EMMTECH-1791         patch                                              [00253369] Legacy - policy is visible as cancelled
EMMTECH-1794         import                                             [00253593] Cannot establish connection with NDES
EMMTECH-1803         dumpstate, patch                                   [Customer][00252535] Issues to sync Gmail app
EMMTECH-1805         patch                                              [Kasselwasser] [00249288] Maximum Screen timeout
EMMTECH-1809         dumpstate                                          [00253676] Kiosk - settings display shows all apps
EMMTECH-1821         dumpstate                                          [00251514] Knox Remote Support tool is not good enough
EMMTECH-1829         dumpstate, patch                                   [ETS][00253338] Unable to access folders in KM RS File Explorer
EMMTECH-1833         import                                             [00253255] Zugriff der Kontakte App auf lokalen Speicher
EMMTECH-1842         dumpstate                                          [Linzee Strang][00252108] Software update postponing indefinitely
EMMTECH-1844         patch                                              [Customer][00253416] Dashboard license issue
EMMTECH-1859         Exception                                          [Isabel Soler][00254822] Internal application does not open PDF
EMMTECH-1860         dumpstate                                          [ETS][00254946] Devices previously enrolled to Knox Manage are not auto-updating apps over mobile network
EMMTECH-1862         Exception, NullPointerException                    [Carl Andrews][00253504]POA Verification app isssue
EMMTECH-1870         patch                                              [00255024] Unable to create KME profile under KM console
EMMTECH-1877         function                                           [Customer][00254216] Issues to Reset Workspace (Container) Password
EMMTECH-1883         dumpstate                                          [Load and Go][00254547] Knox Remote Support not available
EMMTECH-1896         Exception, dumpstate                               [00255344] Internal app does not work in Kiosk mode
EMMTECH-1905         dumpstate                                          [LMDR] [00254365] S22 Handset reloads Intermittently
EMMTECH-1916         dumpstate, function                                [ETS][00255691][KM] App not installing
EMMTECH-1920         Exception                                          [123 Shared][00254240] Kiosk Crash with internal app
EMMTECH-1927         dumpstate, function, import                        [Jinu Jacob][00255760] Application not working with knox
EMMTECH-1945         function                                           [MainPort][00256063] MGP Account not registered
EMMTECH-1954         patch                                              [00256025] Knox Manage - Single App kiosk: Managed config is not sent to devices after enrollment is complete
EMMTECH-1963         import                                             [Xavi Falla][00256345] Stop Auto enroll windows device
EMMTECH-1996         dumpstate                                          [00256827] Application qui refuse de s'installer
EMMTECH-1997         Exception, function                                [Customer][00255821] Private APN issue
EMMTECH-1998         import                                             [00255931] Accounts showing up incorrectly with AD Sync
EMMTECH-2002         Exception                                          [Customer][00255933] User unable to enroll device
EMMTECH-2004         function                                           [00255435] [SM-R915N/경찰청] 녹스매니저 앱 업그레이드
EMMTECH-2017         Exception                                          [Annegret Weigelt][00256905] Remote support not working
EMMTECH-2018         patch                                              [Sydtrafik][00256801]Reopening af Ticket 00249616 - Blue light filter in kiosk mode
EMMTECH-2020         function                                           [Customer][00256941] Private APN for ATT issue
EMMTECH-2023         function, import                                   [00256943] KME Portal & Knox Manage :Device Enrollment KME not in sync
EMMTECH-2032         function                                           [00257661] Problem with APK install
EMMTECH-2040         function                                           [Milton Keynes College][00257648] Licence Activation Failed
EMMTECH-2049         dumpstate                                          [00257630] Youtube cannot be opened in a browser
EMMTECH-2050         Exception, NullPointerException, patch             [Customer][00256623] SingleAppKiosk unexpectedly restarts.
EMMTECH-2061         dumpstate                                          [Customer][00258480] Kiosk - Settings app opening error
EMMTECH-2065         commit, dumpstate, function                        [00258525] Please fix Kiosk update mechanism. It's broken and dowgrades apps.
EMMTECH-2082         Exception                                          [00258586] Valid IPs
EMMTECH-2087         dumpstate                                          [ETS] [00258725] Wallpaper and logo banner images missing on device after Knox Manage Kiosk app update.
